OBJECTID,id,Class,Location,Facility,Sub_Class,Class_2,Longitude,Latitude
192,,Recreation Facility,30 Woodstock Road,Wilmot Park Wading Pool,,Wading Pool,-66.6554718,45.9644051
193,,Parks and Open Space,30 Woodstock Road,Wilmot Park,,Park,-66.6558533,45.9629135
194,,Recreation Facility,9 Saunders Street,Wilmot Park,,Basketball,-66.6580505,45.9630394
195,,Recreation Facility,15 Saunders Street,Fredericton Lawn Bowling Club,,Lawn Bowling,-66.6573792,45.9627991
196,,Recreation Facility,385 Smythe Street,Fredericton Exhibition Sports Field 1,,Sports Field,-66.6580353,45.9613533
197,,Parks and Open Space,250 Cherry Avenue,Cherry Avenue Park,,Park,-66.6537247,45.9820099
198,,Parks and Open Space,451 Fulton Avenue,Sierra Drive Park,,Park,-66.6483917,45.9877281
199,,Parks and Open Space,740 Aberdeen Street,Queen Square Outdoor Pool,,Park,-66.6407166,45.9537773
200,,Parks and Open Space,Hughes Street,Hughes Street Park,,Park,-66.6310349,45.9704933
201,994,Tourism,397 Queen Street,Tourist Information,,Tourist Information,-66.6431503,45.9633369
202,,Parks and Open Space,25 Manressa Drive,Willis Street Park,,Park,-66.6686020,45.9835587
203,,Parks and Open Space,41 Reading Street,Gloucester Crescent Park,,Park,-66.6435394,45.9362297
204,,Cemetery,Salamenka Trail,Loyalist Cemetery,,Cemetery,-66.6327133,45.9454498
205,B2,Recreation Facility,51 Downing Street,Downing Street Park Outdoor Rink,,Outdoor Rink,-66.5862274,45.9824448
206,,Parks and Open Space,120 Main Street,Nashwaaksis Commons,,Park,0.0000000,0.0000000
207,,Recreation Facility,499 Cliffe Street,Leo Hayes Back Field 2,,Sports Field,-66.6215744,45.9806519
208,,Recreation Facility,15 Saunders Street,Fredericton Lawn Bowling Club,,Lawn Bowling,0.0000000,0.0000000
209,,Recreation Facility,590 Knowledge Park Drive,Knowledge Park Drive Artificial-turf Field,,Sports Field,-66.6444931,45.9235191
210,,Recreation Facility,248 Medley Street,Henry Park,,Basketball,-66.6199417,45.9645462
211,,Recreation Facility,20 Cityview Avenue,Fredericton Loyalists Rugby,,Rugby,-66.6497345,45.9735107
212,,Recreation Facility,30 Cityview Avenue,Cityview Dog Park,,Dog Park,-66.6473236,45.9731064
213,,Recreation Facility,600 Knowledge Park Drive,Grant-Harvey Centre,,Arena,-66.6421356,45.9257736
214,,Recreation Facility,39 Harrison Court,Marysville Outdoor Pool,,Outdoor Pool,-66.5950394,45.9781494
215,,Cenotaph,1 Riverside Drive,Barkers Point Cenotaph Area,,Cenotaph,-66.6226883,45.9539871
216,,Parks and Open Space,800 Union Street,Carleton Park,,Park,-66.6255646,45.9609795
217,,Cenotaph,800 Queen Street,Queen Street Cenotaph,,Cenotaph,-66.6346588,45.9582176
219,,Parks and Open Space,1071 Woodstock Road,Angelview Park,,Park,-66.6918640,45.9664764
220,,Preserve,Victory Avenue,Hyla Park Preserve,,Preserve,-66.6114044,45.9502449
221,,Parks and Open Space,127A Melvin Street,Melvin Street Park,,Park,-66.6395187,45.9806519
222,,Cemetery,113 Jewett Street,York County Municipal Home Cemetery,,Cemetary,-66.6862793,45.9799347
223,S17,Cemetery,500 Brunswick Street,Old Burying Ground,Cemetery,Cemetery,-66.6431274,45.9597054
224,,Recreation Facility,385 Smythe Street,Fredericton Exhibition Sports Field 2,,Sports Field,-66.6588135,45.9604225
225,,Recreation Facility,385 Smythe Street,Fredericton Exhibition Raceway,,Race Track,-66.6575699,45.9605865
226,,Recreation Facility,1670 St. Marys Street,Kilarney Lake Beach,,Public Beach,-66.6282806,46.0162773
227,B1,Recreation Facility,39 Royal Road,Royal Road,Baseball,Outdoor Pool,-66.6663513,45.9862633
228,,Recreation Facility,800 Union Street,Carleton Park,,Boat Launch,-66.6269531,45.9615822
229,,Recreation Facility,605 Cliffe Street,Northside Youth Centre,,Skateboard,-66.6177597,45.9790611
230,,Recreation Facility,Sewell Street,Henry Park Tennis Courts,,Skateboard,-66.6219101,45.9643288
231,S24,Recreation Facility,577 Queen Street,Officers Square,College,Outdoor Rink,-66.6389694,45.9616508
232,,Recreation Facility,1670 St. Marys Street,Kilarney Lake,,Outdoor Rink,-66.6283417,46.0153198
233,,Recreation Facility,1360 Wodstock Road,Garden Creek Elementary,,Outdoor Rink,-66.7043533,45.9643059
234,,Recreation Facility,370 Rookwood Avenue,Odell Park,,Outdoor Rink,-66.6631241,45.9563942
235,,Recreation Facility,780 Aberdeen Street,Queen Square Tennis Courts,,Outdoor Rink,-66.6399918,45.9532738
236,,Recreation Facility,Sewell Street,Henry Park,,Outdoor Rink,-66.6225510,45.9644966
237,S7,Recreation Facility,129 McAdam Avenue,McAdam Avenue Elementary,Elementary,Outdoor Rink,-66.6763763,45.9822235
238,988,Parks and Open Space,129 McAdam Avenue,McAdam Avenue Elemtary,,Park,-66.6770096,45.9820023
239,,Recreation Facility,267 Adams Street,Lincoln Field,,Outdoor Rink,-66.5931702,45.9079895
240,,Recreation Facility,15 Islandview Drive,Island View Park,,Outdoor Rink,-66.7659836,45.9623146
241,,City Maintenance,470 Saint Marys Street,Northside Depot,, Maintenance Depot,-66.6319427,45.9831810
242,,City Maintenance,1581 Regent Street,Southside Depot,, Maintenance Depot,-66.6661682,45.9290123
243,,Educational Facility,67 Wyngate Drive,Gibson-Neill Memorial Elementary School,Elementary,School,-66.6065521,45.9804764
244,,Educational Facility,305 Maliseet Dr.,Chief Harold Sappier Memorial Elementary School,Elementary,School,-66.6274948,45.9796524
245,,Educational Facility,615 Kimble Dr,Bliss Carman Middle School,Middle,School,-66.6334229,45.9306221
